Delta_Sector_ID,Delta_Sector,SOC_Code,SOC_Title,Employment_Thousands,Staffing_Share_Pct
1,Finance & Financial Services,11-9141,"Property, real estate, and community association managers",2.9,0.04
1,Finance & Financial Services,43-4199,"Information and record clerks, all other",2.7,0.04
1,Finance & Financial Services,43-9071,"Office machine operators, except computer",2.5,0.04
1,Finance & Financial Services,41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",2.4,0.04
1,Finance & Financial Services,43-5021,Couriers and messengers,2.3,0.03
1,Finance & Financial Services,21-1093,Social and human service assistants,2.3,0.03
1,Finance & Financial Services,13-1075,Labor relations specialists,2.1,0.03
1,Finance & Financial Services,43-6012,Legal secretaries and administrative assistants,2.1,0.03
1,Finance & Financial Services,11-3061,Purchasing managers,2.0,0.03
1,Finance & Financial Services,43-4111,"Interviewers, except eligibility and loan",2.0,0.03
1,Finance & Financial Services,41-9021,Real estate brokers,1.9,0.03
1,Finance & Financial Services,27-3042,Technical writers,1.8,0.03
1,Finance & Financial Services,41-3041,Travel agents,1.7,0.03
1,Finance & Financial Services,29-2061,Licensed practical and licensed vocational nurses,1.7,0.03
1,Finance & Financial Services,41-9022,Real estate sales agents,1.7,0.03
1,Finance & Financial Services,19-5011,Occupational health and safety specialists,1.6,0.02
1,Finance & Financial Services,21-1018,"Substance abuse, behavioral disorder, and mental health counselors",1.6,0.02
1,Finance & Financial Services,13-2031,Budget analysts,1.5,0.02
1,Finance & Financial Services,29-2099,"Health technologists and technicians, all other",1.5,0.02
1,Finance & Financial Services,49-1011,"First-line supervisors of mechanics, installers, and repairers",1.5,0.02
1,Finance & Financial Services,23-2099,"Legal support workers, all other",1.4,0.02
1,Finance & Financial Services,43-5071,"Shipping, receiving, and inventory clerks",1.4,0.02
1,Finance & Financial Services,29-9021,Health information technologists and medical registrars,1.3,0.02
1,Finance & Financial Services,11-9041,Architectural and engineering managers,1.2,0.02
1,Finance & Financial Services,17-2111,"Health and safety engineers, except mining safety engineers and inspectors",1.2,0.02
1,Finance & Financial Services,15-2041,Statisticians,1.2,0.02
1,Finance & Financial Services,27-3043,Writers and authors,1.2,0.02
1,Finance & Financial Services,43-9111,Statistical assistants,1.2,0.02
1,Finance & Financial Services,19-3011,Economists,1.1,0.02
1,Finance & Financial Services,13-1081,Logisticians,1.0,0.02
1,Finance & Financial Services,43-4021,Correspondence clerks,1.0,0.02
1,Finance & Financial Services,29-9099,"Healthcare practitioners and technical workers, all other",0.9,0.01
1,Finance & Financial Services,31-9099,"Healthcare support workers, all other",0.9,0.01
1,Finance & Financial Services,29-1229,"Physicians, all other",0.9,0.01
1,Finance & Financial Services,27-3041,Editors,0.8,0.01
1,Finance & Financial Services,17-2199,"Engineers, all other",0.8,0.01
1,Finance & Financial Services,11-9021,Construction managers,0.8,0.01
1,Finance & Financial Services,43-3061,Procurement clerks,0.7,0.01
1,Finance & Financial Services,43-2011,"Switchboard operators, including answering service",0.7,0.01
1,Finance & Financial Services,51-5112,Printing press operators,0.7,0.01
1,Finance & Financial Services,19-4099,"Life, physical, and social science technicians, all other",0.7,0.01
1,Finance & Financial Services,17-2051,Civil engineers,0.7,0.01
1,Finance & Financial Services,43-9022,Word processors and typists,0.7,0.01
1,Finance & Financial Services,13-1051,Cost estimators,0.6,0.01
1,Finance & Financial Services,37-3011,Landscaping and groundskeeping workers,0.6,0.01
1,Finance & Financial Services,49-2011,"Computer, automated teller, and office machine repairers",0.6,0.01
1,Finance & Financial Services,11-9121,Natural sciences managers,0.6,0.01
1,Finance & Financial Services,31-9095,Pharmacy aides,0.6,0.01
1,Finance & Financial Services,11-2011,Advertising and promotions managers,0.5,0.01
1,Finance & Financial Services,13-1131,Fundraisers,0.5,0.01
1,Finance & Financial Services,53-7065,Stockers and order fillers,0.5,0.01
1,Finance & Financial Services,13-2082,Tax preparers,0.5,0.01
1,Finance & Financial Services,31-1120,Home health and personal care aides,0.5,0.01
1,Finance & Financial Services,47-4011,Construction and building inspectors,0.5,0.01
1,Finance & Financial Services,33-2021,Fire inspectors and investigators,0.5,0.01
1,Finance & Financial Services,27-1011,Art directors,0.4,0.01
1,Finance & Financial Services,51-9061,"Inspectors, testers, sorters, samplers, and weighers",0.4,0.01
1,Finance & Financial Services,49-3023,Automotive service technicians and mechanics,0.4,0.01
1,Finance & Financial Services,11-9151,Social and community service managers,0.4,0.01
1,Finance & Financial Services,19-3033,Clinical and counseling psychologists,0.4,0.01
1,Finance & Financial Services,21-1099,"Community and social service specialists, all other",0.4,0.01
1,Finance & Financial Services,27-3091,Interpreters and translators,0.4,0.01
1,Finance & Financial Services,31-9092,Medical assistants,0.4,0.01
1,Finance & Financial Services,43-4061,"Eligibility interviewers, government programs",0.4,0.01
1,Finance & Financial Services,43-5032,"Dispatchers, except police, fire, and ambulance",0.4,0.01
1,Finance & Financial Services,11-3071,"Transportation, storage, and distribution managers",0.3,0.0
1,Finance & Financial Services,27-4011,Audio and video technicians,0.3,0.0
1,Finance & Financial Services,33-1091,First-line supervisors of security workers,0.3,0.0
1,Finance & Financial Services,53-7062,"Laborers and freight, stock, and material movers, hand",0.3,0.0
1,Finance & Financial Services,17-2112,Industrial engineers,0.3,0.0
1,Finance & Financial Services,15-1221,Computer and information research scientists,0.3,0.0
1,Finance & Financial Services,21-1015,Rehabilitation counselors,0.3,0.0
1,Finance & Financial Services,33-9099,"Protective service workers, all other",0.3,0.0
1,Finance & Financial Services,25-9031,Instructional coordinators,0.3,0.0
1,Finance & Financial Services,33-1099,"First-line supervisors of protective service workers, all other",0.2,0.0
1,Finance & Financial Services,41-9031,Sales engineers,0.2,0.0
1,Finance & Financial Services,51-9071,Jewelers and precious stone and metal workers,0.2,0.0
1,Finance & Financial Services,53-2012,Commercial pilots,0.2,0.0
1,Finance & Financial Services,19-5012,Occupational health and safety technicians,0.2,0.0
1,Finance & Financial Services,21-1019,"Counselors, all other",0.2,0.0
1,Finance & Financial Services,21-1029,"Social workers, all other",0.2,0.0
1,Finance & Financial Services,23-1022,"Arbitrators, mediators, and conciliators",0.2,0.0
1,Finance & Financial Services,29-1031,Dietitians and nutritionists,0.2,0.0
1,Finance & Financial Services,29-1299,"Healthcare diagnosing or treating practitioners, all other",0.2,0.0
1,Finance & Financial Services,43-4151,Order clerks,0.2,0.0
1,Finance & Financial Services,49-9021,"Heating, air conditioning, and refrigeration mechanics and installers",0.2,0.0
1,Finance & Financial Services,17-2061,Computer hardware engineers,0.1,0.0
1,Finance & Financial Services,53-3032,Heavy and tractor-trailer truck drivers,0.1,0.0
1,Finance & Financial Services,27-4032,Film and video editors,0.1,0.0
1,Finance & Financial Services,43-9031,Desktop publishers,0.1,0.0
1,Finance & Financial Services,11-2033,Fundraising managers,0.1,0.0
1,Finance & Financial Services,11-9179,"Personal service managers, all other",0.1,0.0
1,Finance & Financial Services,15-2099,"Mathematical science occupations, all other",0.1,0.0
1,Finance & Financial Services,17-1011,"Architects, except landscape and naval",0.1,0.0
1,Finance & Financial Services,21-1012,"Educational, guidance, and career counselors and advisors",0.1,0.0
1,Finance & Financial Services,21-1021,"Child, family, and school social workers",0.1,0.0
1,Finance & Financial Services,21-1023,Mental health and substance abuse social workers,0.1,0.0
1,Finance & Financial Services,27-2012,Producers and directors,0.1,0.0
1,Finance & Financial Services,29-1123,Physical therapists,0.1,0.0
1,Finance & Financial Services,35-2012,"Cooks, institution and cafeteria",0.1,0.0
1,Finance & Financial Services,35-2021,Food preparation workers,0.1,0.0
1,Finance & Financial Services,51-8021,Stationary engineers and boiler operators,0.1,0.0
1,Finance & Financial Services,53-1047,"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",0.1,0.0
1,Finance & Financial Services,53-3033,Light truck drivers,0.1,0.0
1,Finance & Financial Services,53-3099,"Motor vehicle operators, all other",0.1,0.0
1,Finance & Financial Services,19-4092,Forensic science technicians,0.1,0.0
1,Finance & Financial Services,37-2012,Maids and housekeeping cleaners,0.1,0.0
1,Finance & Financial Services,51-1011,First-line supervisors of production and operating workers,0.1,0.0
2,Technology & Software,15-1252,Software developers,829.4,17.55
2,Technology & Software,41-3091,"Sales representatives of services, except advertising, insurance, financial services, and travel",269.9,5.71
2,Technology & Software,15-1232,Computer user support specialists,217.3,4.6
2,Technology & Software,11-3021,Computer and information systems managers,209.6,4.44
2,Technology & Software,43-4051,Customer service representatives,155.7,3.29
2,Technology & Software,11-1021,General and operations managers,154.2,3.26
2,Technology & Software,15-1211,Computer systems analysts,152.8,3.23
2,Technology & Software,13-1082,Project management specialists,117.5,2.49
2,Technology & Software,15-1299,"Computer occupations, all other",115.9,2.45
2,Technology & Software,49-2022,"Telecommunications equipment installers and repairers, except line installers",109.3,2.31
2,Technology & Software,13-1161,Market research analysts and marketing specialists,104.3,2.21
2,Technology & Software,15-1253,Software quality assurance analysts and testers,98.8,2.09
2,Technology & Software,13-1111,Management analysts,85.7,1.81
2,Technology & Software,15-1244,Network and computer systems administrators,80.4,1.7
2,Technology & Software,15-1241,Computer network architects,76.7,1.62
2,Technology & Software,11-2022,Sales managers,72.1,1.53
2,Technology & Software,13-1199,"Business operations specialists, all other",66.6,1.41
2,Technology & Software,13-1071,Human resources specialists,61.6,1.3
2,Technology & Software,49-9052,Telecommunications line installers and repairers,59.5,1.26
2,Technology & Software,13-2011,Accountants and auditors,59.1,1.25
2,Technology & Software,15-1212,Information security analysts,57.7,1.22
2,Technology & Software,51-2028,"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",56.5,1.2
2,Technology & Software,11-2021,Marketing managers,53.7,1.14
2,Technology & Software,41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",53.5,1.13
2,Technology & Software,15-2051,Data scientists,50.3,1.06
2,Technology & Software,15-1231,Computer network support specialists,50.3,1.06
2,Technology & Software,11-9199,"Managers, all other",50.0,1.06
2,Technology & Software,15-1251,Computer programmers,47.1,1.0
2,Technology & Software,43-9061,"Office clerks, general",40.5,0.86
2,Technology & Software,15-1255,Web and digital interface designers,39.9,0.84
2,Technology & Software,43-1011,First-line supervisors of office and administrative support workers,39.1,0.83
2,Technology & Software,17-2061,Computer hardware engineers,34.7,0.73
2,Technology & Software,11-3031,Financial managers,34.2,0.72
2,Technology & Software,13-1151,Training and development specialists,33.4,0.71
2,Technology & Software,43-3031,"Bookkeeping, accounting, and auditing clerks",33.0,0.7
2,Technology & Software,17-2072,"Electronics engineers, except computer",30.3,0.64
2,Technology & Software,51-9141,Semiconductor processing technicians,30.1,0.64
2,Technology & Software,15-1254,Web developers,29.1,0.62
2,Technology & Software,43-6014,"Secretaries and administrative assistants, except legal, medical, and executive",28.5,0.6
2,Technology & Software,17-2112,Industrial engineers,27.1,0.57
2,Technology & Software,15-1243,Database architects,23.0,0.49
2,Technology & Software,41-1012,First-line supervisors of non-retail sales workers,21.9,0.46
2,Technology & Software,41-9031,Sales engineers,21.4,0.45
2,Technology & Software,13-2051,Financial and investment analysts,20.7,0.44
2,Technology & Software,51-9061,"Inspectors, testers, sorters, samplers, and weighers",19.7,0.42
2,Technology & Software,13-1020,Buyers and purchasing agents,19.3,0.41
2,Technology & Software,27-1024,Graphic designers,18.5,0.39
2,Technology & Software,11-1011,Chief executives,17.6,0.37
2,Technology & Software,15-1242,Database administrators,17.6,0.37
2,Technology & Software,43-6011,Executive secretaries and executive administrative assistants,17.4,0.37
2,Technology & Software,41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",17.0,0.36
2,Technology & Software,11-3121,Human resources managers,16.6,0.35
2,Technology & Software,17-2071,Electrical engineers,16.5,0.35
2,Technology & Software,51-2090,Miscellaneous assemblers and fabricators,16.1,0.34
2,Technology & Software,49-1011,"First-line supervisors of mechanics, installers, and repairers",15.4,0.33
2,Technology & Software,17-3023,Electrical and electronic engineering technologists and technicians,15.2,0.32
2,Technology & Software,23-1011,Lawyers,14.8,0.31
2,Technology & Software,11-9041,Architectural and engineering managers,14.6,0.31
2,Technology & Software,15-2031,Operations research analysts,13.8,0.29
2,Technology & Software,49-9071,"Maintenance and repair workers, general",13.6,0.29
2,Technology & Software,13-1041,Compliance officers,13.3,0.28
2,Technology & Software,43-5071,"Shipping, receiving, and inventory clerks",13.1,0.28
2,Technology & Software,13-1081,Logisticians,13.0,0.28
2,Technology & Software,17-2141,Mechanical engineers,12.9,0.27
2,Technology & Software,27-3042,Technical writers,12.8,0.27
2,Technology & Software,43-5061,"Production, planning, and expediting clerks",12.6,0.27
2,Technology & Software,11-3012,Administrative services managers,12.5,0.26
2,Technology & Software,51-1011,First-line supervisors of production and operating workers,12.0,0.25
2,Technology & Software,27-3031,Public relations specialists,11.5,0.24
2,Technology & Software,43-3021,Billing and posting clerks,11.5,0.24
2,Technology & Software,17-2199,"Engineers, all other",9.5,0.2
2,Technology & Software,41-2031,Retail salespersons,9.4,0.2
2,Technology & Software,53-7062,"Laborers and freight, stock, and material movers, hand",9.3,0.2
2,Technology & Software,15-1221,Computer and information research scientists,9.2,0.19
2,Technology & Software,43-9021,Data entry keyers,9.0,0.19
2,Technology & Software,27-3041,Editors,9.0,0.19
2,Technology & Software,43-4121,"Library assistants, clerical",7.8,0.17
2,Technology & Software,27-1014,Special effects artists and animators,7.6,0.16
2,Technology & Software,11-3051,Industrial production managers,7.2,0.15
2,Technology & Software,25-4022,Librarians and media collections specialists,7.1,0.15
2,Technology & Software,49-9041,Industrial machinery mechanics,6.3,0.13
2,Technology & Software,17-3026,Industrial engineering technologists and technicians,5.9,0.12
2,Technology & Software,41-3011,Advertising sales agents,5.8,0.12
2,Technology & Software,27-2012,Producers and directors,5.5,0.12
2,Technology & Software,53-7065,Stockers and order fillers,5.2,0.11
2,Technology & Software,11-2032,Public relations managers,4.8,0.1
2,Technology & Software,43-3011,Bill and account collectors,4.8,0.1
2,Technology & Software,27-1011,Art directors,4.5,0.1
2,Technology & Software,13-1141,"Compensation, benefits, and job analysis specialists",4.4,0.09
2,Technology & Software,25-4031,Library technicians,4.4,0.09
2,Technology & Software,13-2099,"Financial specialists, all other",4.2,0.09
2,Technology & Software,33-9032,Security guards,4.1,0.09
2,Technology & Software,11-3131,Training and development managers,4.0,0.08
2,Technology & Software,43-5032,"Dispatchers, except police, fire, and ambulance",4.0,0.08
2,Technology & Software,17-2011,Aerospace engineers,3.9,0.08
2,Technology & Software,41-9099,"Sales and related workers, all other",3.9,0.08
2,Technology & Software,49-2011,"Computer, automated teller, and office machine repairers",3.7,0.08
2,Technology & Software,29-2072,Medical records specialists,3.7,0.08
2,Technology & Software,11-3061,Purchasing managers,3.6,0.08
2,Technology & Software,51-4041,Machinists,3.6,0.08
2,Technology & Software,13-1121,"Meeting, convention, and event planners",3.6,0.08
2,Technology & Software,49-2021,"Radio, cellular, and tower equipment installers and repairers",3.3,0.07
2,Technology & Software,11-3071,"Transportation, storage, and distribution managers",3.2,0.07
