Function_ID,Function_Name,SOC_Code,Delta_Sector_ID,Delta_Sector,Employment_Thousands
5,Marketing & Communications,13-1161,15,Manufacturing,30.9
5,Marketing & Communications,13-1161,16,Retail Trade,23.9
5,Marketing & Communications,13-1161,17,Construction,16.8
5,Marketing & Communications,13-1161,18,Transportation & Warehousing,7.3
5,Marketing & Communications,13-1161,19,Wholesale Trade,57.4
5,Marketing & Communications,13-1161,20,Accommodation & Food Services,11.2
5,Marketing & Communications,27-3031,1,Finance & Financial Services,14.8
5,Marketing & Communications,27-3031,2,Technology & Software,11.5
5,Marketing & Communications,27-3031,3,Healthcare & Life Sciences,17.7
5,Marketing & Communications,27-3031,4,Law Firms & Legal Services,1.8
5,Marketing & Communications,27-3031,5,Management Consulting Firms,8.4
5,Marketing & Communications,27-3031,6,Accounting & Tax Firms,0.7
5,Marketing & Communications,27-3031,7,Advertising & PR Agencies,41.7
5,Marketing & Communications,27-3031,8,Staffing & Recruitment Agencies,3.4
5,Marketing & Communications,27-3031,9,Real Estate & Property,2.8
5,Marketing & Communications,27-3031,10,Education & Academia,17.7
5,Marketing & Communications,27-3031,11,Government & Public Administration,15.3
5,Marketing & Communications,27-3031,12,Media Publishing & Entertainment,6.4
5,Marketing & Communications,27-3031,13,Energy & Utilities,1.9
5,Marketing & Communications,27-3031,14,Architecture & Engineering Firms,3.6
5,Marketing & Communications,27-3031,15,Manufacturing,3.2
5,Marketing & Communications,27-3031,16,Retail Trade,2.5
5,Marketing & Communications,27-3031,17,Construction,1.8
5,Marketing & Communications,27-3031,18,Transportation & Warehousing,0.9
5,Marketing & Communications,27-3031,19,Wholesale Trade,4.4
5,Marketing & Communications,27-3031,20,Accommodation & Food Services,2.8
6,Sales & Business Development,11-2022,1,Finance & Financial Services,65.2
6,Sales & Business Development,11-2022,2,Technology & Software,72.1
6,Sales & Business Development,11-2022,3,Healthcare & Life Sciences,17.8
6,Sales & Business Development,11-2022,4,Law Firms & Legal Services,0.5
6,Sales & Business Development,11-2022,5,Management Consulting Firms,17.7
6,Sales & Business Development,11-2022,6,Accounting & Tax Firms,4.3
6,Sales & Business Development,11-2022,7,Advertising & PR Agencies,12.1
6,Sales & Business Development,11-2022,8,Staffing & Recruitment Agencies,9.5
6,Sales & Business Development,11-2022,9,Real Estate & Property,5.0
6,Sales & Business Development,11-2022,10,Education & Academia,1.7
6,Sales & Business Development,11-2022,11,Government & Public Administration,0.4
6,Sales & Business Development,11-2022,12,Media Publishing & Entertainment,6.9
6,Sales & Business Development,11-2022,13,Energy & Utilities,1.4
6,Sales & Business Development,11-2022,14,Architecture & Engineering Firms,8.9
6,Sales & Business Development,11-2022,15,Manufacturing,41.6
6,Sales & Business Development,11-2022,16,Retail Trade,59.6
6,Sales & Business Development,11-2022,17,Construction,11.1
6,Sales & Business Development,11-2022,18,Transportation & Warehousing,10.2
6,Sales & Business Development,11-2022,19,Wholesale Trade,110.1
6,Sales & Business Development,11-2022,20,Accommodation & Food Services,11.1
6,Sales & Business Development,41-3091,1,Finance & Financial Services,23.7
6,Sales & Business Development,41-3091,2,Technology & Software,269.9
6,Sales & Business Development,41-3091,3,Healthcare & Life Sciences,27.3
6,Sales & Business Development,41-3091,4,Law Firms & Legal Services,1.9
6,Sales & Business Development,41-3091,5,Management Consulting Firms,79.8
6,Sales & Business Development,41-3091,6,Accounting & Tax Firms,19.6
6,Sales & Business Development,41-3091,7,Advertising & PR Agencies,38.3
6,Sales & Business Development,41-3091,8,Staffing & Recruitment Agencies,42.4
6,Sales & Business Development,41-3091,9,Real Estate & Property,6.6
6,Sales & Business Development,41-3091,10,Education & Academia,7.7
6,Sales & Business Development,41-3091,11,Government & Public Administration,0.7
6,Sales & Business Development,41-3091,12,Media Publishing & Entertainment,17.5
6,Sales & Business Development,41-3091,13,Energy & Utilities,4.1
6,Sales & Business Development,41-3091,14,Architecture & Engineering Firms,22.1
6,Sales & Business Development,41-3091,15,Manufacturing,7.4
6,Sales & Business Development,41-3091,16,Retail Trade,24.1
6,Sales & Business Development,41-3091,17,Construction,119.3
6,Sales & Business Development,41-3091,18,Transportation & Warehousing,52.7
6,Sales & Business Development,41-3091,19,Wholesale Trade,30.4
6,Sales & Business Development,41-3091,20,Accommodation & Food Services,29.5
6,Sales & Business Development,41-4012,1,Finance & Financial Services,2.4
6,Sales & Business Development,41-4012,2,Technology & Software,17.0
6,Sales & Business Development,41-4012,3,Healthcare & Life Sciences,11.6
6,Sales & Business Development,41-4012,5,Management Consulting Firms,7.2
6,Sales & Business Development,41-4012,7,Advertising & PR Agencies,4.7
6,Sales & Business Development,41-4012,8,Staffing & Recruitment Agencies,7.1
6,Sales & Business Development,41-4012,10,Education & Academia,0.5
